namespace,service,p50_seconds,p95_seconds,p99_seconds
bookinfo,productpage.bookinfo.svc.cluster.local,690.6111384555409,2281.7315813751,2580.913795249745
teastore,teastore-webui.teastore.svc.cluster.local,1.6755840812868084,31.820300792167856,78.63637912349039
sock-shop,front-end.sock-shop.svc.cluster.local,2.9204128432318823,4.376199628480672,4.505602898280563
bookinfo,details.bookinfo.svc.cluster.local,2.8411991843295934,4.346040167966007,4.479803810955912
bookinfo,reviews.bookinfo.svc.cluster.local,0.4287371987664739,0.8505383339762428,0.8886266416962766
bookinfo,ratings.bookinfo.svc.cluster.local,0.06775299937343833,0.2652575985899932,0.2828135629647981
teastore,teastore-registry.teastore.svc.cluster.local,0.016058016216877732,0.027832380582973087,0.02887899074884823
sock-shop,catalogue.sock-shop.svc.cluster.local,0.00021534590273865345,0.006551797512567507,0.013499750223569359
sock-shop,payment.sock-shop.svc.cluster.local,0.00019519120997317767,0.0033032358610845464,0.005465353879248972
sock-shop,user.sock-shop.svc.cluster.local,0.00021726535947712422,0.0005418823529411767,0.0006002980392156864
sock-shop,shipping.sock-shop.svc.cluster.local,0.00018519009287925695,0.00029630414860681105,0.0003061809535603715
sock-shop,orders.sock-shop.svc.cluster.local,0.00018388359133126935,0.0002942137461300309,0.000304020871001032
sock-shop,queue-master.sock-shop.svc.cluster.local,0.00017929037483326374,0.00028686459973322197,0.00029642675305766275
sock-shop,carts.sock-shop.svc.cluster.local,0.00017886689914010345,0.0002861870386241655,0.00029572660657830436
