X,Y,App(X),App(Y),P(Y|X),P(Y|X'),PNS,PN,PS,X_events,Y_events
details,front-end,bookinfo,sock-shop,100.0,0.0,100.0,100.0,100.0,161,1062
productpage,front-end,bookinfo,sock-shop,100.0,0.0,100.0,100.0,100.0,1514,1062
details,teastore-webui,bookinfo,teastore,100.0,0.0,100.0,100.0,100.0,161,4110
reviews,teastore-webui,bookinfo,teastore,100.0,0.0,100.0,100.0,100.0,806,4110
teastore-webui,front-end,teastore,sock-shop,96.5,0.0,96.5,100.0,96.5,4110,1062
reviews,front-end,bookinfo,sock-shop,80.4,0.0,80.4,100.0,80.4,806,1062
front-end,productpage,sock-shop,bookinfo,64.12,0.0,64.12,100.0,64.12,1062,1514
teastore-webui,productpage,teastore,bookinfo,52.65,0.0,52.65,100.0,52.65,4110,1514
front-end,details,sock-shop,bookinfo,93.31,4.97,88.35,94.68,92.96,1062,161
teastore-webui,details,teastore,bookinfo,82.34,4.97,77.37,93.97,81.41,4110,161
ratings,teastore-webui,bookinfo,teastore,100.0,16.79,83.21,83.21,100.0,222,4110
front-end,teastore-webui,sock-shop,teastore,100.0,17.71,82.29,82.29,100.0,1062,4110
productpage,teastore-webui,bookinfo,teastore,100.0,17.71,82.29,82.29,100.0,1514,4110
teastore-webui,reviews,teastore,bookinfo,99.37,22.83,76.54,77.03,99.18,4110,806
front-end,reviews,sock-shop,bookinfo,100.0,23.2,76.8,76.8,100.0,1062,806
teastore-webui,ratings,teastore,bookinfo,98.59,27.93,70.66,71.67,98.04,4110,222
front-end,ratings,sock-shop,bookinfo,100.0,28.38,71.62,71.62,100.0,1062,222
ratings,front-end,bookinfo,sock-shop,70.72,37.01,33.72,47.67,53.52,222,1062
